Rule #,Name,Location,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Target,Rule Usage Description,Rule Usage Rule Usage,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
11,Allow_Mgmt_to_DMZ_DNS,sg-cloudfw,,universal,Mgmt,192.137.77.27/32,svc_batch,any,DMZ,net-tier-192_8_0_0_16,any,dns,SG_Email_Legacy,allow,threat-prevention,none,PA-3410,Created during migration; documentation missing,7209,(none),375,5/20/2025 18:26,1/29/2024 18:26
12,Allow_Internet_to_Guest_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Untrust,SG_All_Branches,svc_batch,any,Guest,srv-sg-app17.corp.local,any,SG_App_Any_And_Web,imap-alt-tcp-145,allow,default,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC132664,1187,(none),327,9/20/2025 23:22,7/11/2024 23:22
13,Allow_Mgmt_to_Trust_FTP,sg-cloudfw,,universal,Mgmt,SG_Internet_Tiers,any,any,Trust,SG_All_Addresses,any,dns,ftp-data-tcp-20,allow,antivirus,Traffic log sent at session end,PA-3410,Exception tracked in INC924569 pending remediation,356,"web-browsing, ssl",194,2/26/2025 8:35,1/11/2022 8:35
14,Allow_DMZ_to_Trust_DNS,sg-cloudfw,,universal,DMZ,192.10.0.0/16,svc_batch,any,Trust,SG_Branch_3_Subnets,any,dns,netbios-ssn-tcp-139,allow,none,log at both ends,PA-3410,Temporary workaround—no ticket provided,8177,"ftp, smb",36,2/18/2025 16:23,4/11/2022 16:23
15,Allow_Trust_to_Guest_SSL,sg-cloudfw,,universal,Trust,192.22.180.23/32,domain\itops,any,Guest,net-core-192.168.0.0_16,any,ssl,netbios-ssn-udp-139,allow,default,none,PA-3410,Exception tracked in INC186476 pending remediation,0,(none),153,10/29/2025 13:45,9/21/2023 13:45
16,Allow_Mgmt_to_Trust_RDP,sg-cloudfw,,universal,Mgmt,legacy.sg.corp,svc_backup,any,Trust,telemetry.sg.iot,any,SG_App_Any_And_Web,rdp-tcp-3389,allow,best-practice,Traffic log sent at session end,PA-3410,Legacy rule—owner unknown,0,"ftp, smb",205,4/12/2025 22:06,3/26/2022 22:06
17,Allow_Guest_to_Trust_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Guest,srv-sg-app15.corp.local,svc_batch,any,Trust,SG_Branch_1_Subnets,any,SG_App_Any_And_Web,tcp-any,allow,default,log at both ends,PA-3410,Exception tracked in INC565316 pending remediation,1188,ssh,211,5/18/2025 11:19,6/23/2023 11:19
18,Allow_DMZ_to_DMZ_Telnet,sg-cloudfw,,universal,DMZ,192.251.160.13/32,domain\itops,any,DMZ,any,any,ssl,telnet-tcp-23,allow,best-practice,Traffic log sent at session end,PA-3410,Legacy rule—owner unknown,179,"web-browsing, ssl",366,3/22/2025 6:16,4/27/2023 6:16
19,Allow_Trust_to_Guest_FTP,sg-cloudfw,,universal,Untrust,any,domain\finance,any,DMZ,any,any,any,ftp-bundle-tcp-20-21,allow,none,Traffic log sent at session end,PA-3410,Temporary workaround—no ticket provided,8298,"rdp, vnc",250,6/7/2025 1:46,12/16/2023 1:46
20,Allow_Internet_to_Trust_FTP,sg-cloudfw,,universal,Untrust,db.sg.corp.local,any,any,Trust,net-tier-192_9_0_0_16,any,dns,ftp-bundle-tcp-20-21,allow,none,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Exception tracked in INC169785 pending remediation,4005,(none),385,2/12/2025 0:15,8/31/2022 0:15
21,Block_Guest_to_DMZ_POP3,sg-cloudfw,,universal,Guest,any,svc_backup,any,DMZ,192.149.19.17/32,any,pop3,ms-rpc-udp-135,deny,antivirus,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Exception tracked in INC415619 pending remediation,4596,unknown-tcp,367,4/18/2025 2:45,10/23/2024 2:45
22,Allow_Mgmt_to_Mgmt_RDP,sg-cloudfw,,universal,Mgmt,any,svc_backup,any,Mgmt,any,any,imap,rdp-tcp-3389,allow,none,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,7273,dns,140,2/28/2025 22:46,12/25/2021 22:46
23,Allow_DMZ_to_Trust_ANY-App,sg-cloudfw,,universal,DMZ,telemetry.sg.iot,any,any,Trust,net-tier-192_3_0_0_16,any,any,snmp-tcp-161,allow,threat-prevention,none,PA-3410,Observed traffic baseline only,393,(none),52,5/12/2025 9:04,2/25/2025 9:04
24,Allow_Internet_to_Mgmt_HTTP,sg-cloudfw,,universal,Untrust,any,domain\finance,any,Mgmt,any,any,web-browsing,SG_Insecure_File_Sharing,allow,default,Traffic log sent at session end,PA-3410,Observed traffic baseline only,192,"web-browsing, ssl",264,10/12/2025 13:26,4/8/2024 13:26
25,Block_Internet_to_DMZ_FTP,sg-cloudfw,,universal,Untrust,SG_Corp_Internal,svc_batch,any,DMZ,srv-sg-app17.corp.local,any,pop3,ftp-data-tcp-20,deny,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,0,"ftp, smb",392,7/24/2025 9:50,4/26/2022 9:50
26,Allow_Guest_to_Mgmt_SSH,sg-cloudfw,,universal,Untrust,any,svc_backup,any,DMZ,any,any,any,netbios-ssn-udp-139,allow,none,Traffic log sent at start,PA-3410,Operational requirement documented in INC959651,368,dns,345,3/9/2025 13:58,6/27/2024 13:58
27,Allow_Guest_to_Trust_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Guest,SG_Corp_Internal,svc_batch,any,Trust,192.6.0.0/16,any,SG_App_Any_And_Web,SG_Email_Legacy,allow,strict,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC875449,0,unknown-tcp,375,11/18/2024 18:36,10/19/2024 18:36
28,Allow_Guest_to_Guest_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Guest,any,svc_batch,any,Guest,any,any,SG_App_Any_And_Web,pop3-tcp-110,allow,antivirus,log at both ends,PA-3410,Change approved under INC397102,495,(none),349,11/24/2024 11:45,9/10/2023 11:45
29,Allow_Guest_to_DMZ_SMTP,sg-cloudfw,,universal,any,any,svc_batch,any,DMZ,net-core-192.168.0.0_16,any,smtp,snmp-udp-161,allow,none,none,PA-3410,Change approved under INC299765,495,"ftp, smb",216,9/22/2025 11:10,6/24/2022 11:10
30,Allow_Guest_to_Mgmt_HTTP,sg-cloudfw,,universal,Guest,any,svc_batch,any,Mgmt,any,any,web-browsing,service-any,allow,threat-prevention,log at both ends,PA-3410,Observed traffic baseline only,0,ssh,311,5/6/2025 22:05,2/1/2022 22:05
31,Allow_DMZ_to_Trust_RDP,sg-cloudfw,,universal,DMZ,SG_External_Vendors,domain\itops,any,Trust,any,any,web-browsing,rdp-tcp-3389,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,219,"web-browsing, ssl",379,9/29/2025 15:50,10/30/2024 15:50
32,Allow_Trust_to_Trust_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Untrust,any,any,any,Trust,any,any,any,ms-rpc-tcp-135,allow,none,none,PA-3410,Operational requirement documented in INC689021,0,dns,400,1/28/2025 6:42,12/2/2023 6:42
33,Allow_DMZ_to_Mgmt_HTTP,sg-cloudfw,,universal,Untrust,any,svc_batch,any,DMZ,any,any,any,ftp-control-tcp-21,allow,none,Traffic log sent at session end,PA-3410,,313,"rdp, vnc",339,5/3/2025 8:58,4/20/2022 8:58
34,Allow_Guest_to_Mgmt_HTTP,sg-cloudfw,,universal,Untrust,any,any,any,DMZ,any,any,any,netbios-ns-tcp-137,allow,none,log at both ends,PA-3410,Exception tracked in INC654635 pending remediation,2991,unknown-tcp,75,3/10/2025 17:47,1/10/2023 17:47
35,Allow_Guest_to_DMZ_DNS,sg-cloudfw,,universal,Untrust,any,domain\itops,any,Trust,any,any,any,irc-tcp-6660-6669,allow,none,Traffic log sent at session end,PA-3410,Temporary allow per INC456591 (expires in 30d),179,unknown-tcp,240,4/28/2025 18:11,3/23/2022 18:11
36,Allow_Trust_to_Trust_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Trust,SG_External_Vendors,domain\itops,any,Trust,any,any,SG_App_Any_And_Web,SG_Email_Legacy,allow,none,Traffic log sent at session end,PA-3410,Created during migration; documentation missing,0,ssh,244,12/6/2024 1:31,3/4/2023 1:31
37,Allow_Guest_to_Trust_POP3,sg-cloudfw,,universal,Guest,srv-sg-app02.corp.local,domain\itops,any,Trust,any,any,pop3,dns-udp-53,allow,best-practice,log at both ends,PA-3410,Change approved under INC713425,0,ssh,341,11/20/2024 16:46,7/30/2022 16:46
38,Allow_Trust_to_DMZ_SSL,sg-cloudfw,,universal,Trust,192.56.101.11/32,any,any,DMZ,telemetry.sg.iot,any,ssl,dns-udp-53,allow,default,none,PA-3410,Legacy rule—owner unknown,0,"web-browsing, ssl",24,1/2/2025 22:06,2/17/2022 22:06
39,Allow_Guest_to_Trust_RDP,sg-cloudfw,,universal,Guest,SG_Legacy_Vendors,svc_backup,any,Trust,192.3.0.0/16,any,any,rdp-tcp-3389,allow,best-practice,none,PA-3410,Legacy rule—owner unknown,149,"ftp, smb",291,4/26/2025 17:51,10/31/2024 17:51
40,Block_Internet_to_Mgmt_SSL,sg-cloudfw,,universal,Untrust,SG_Branch_2_Subnets,svc_batch,any,Mgmt,SG_Legacy,any,ssl,netbios-ns-tcp-137,deny,best-practice,none,PA-3410,Legacy rule—owner unknown,0,unknown-tcp,353,9/26/2025 5:54,6/15/2023 5:54
41,Block_Guest_to_Guest_SMTP,sg-cloudfw,,universal,Guest,192.8.0.0/16,svc_backup,any,Guest,192.99.122.19/32,any,smtp,snmp-udp-161,deny,default,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC951441,60,"web-browsing, ssl",399,1/11/2025 14:41,1/9/2022 14:41
42,Allow_Internet_to_Trust_SMB,sg-cloudfw,,universal,Untrust,SG_All_Branches,domain\itops,any,Trust,net-tier-192_4_0_0_16,any,pop3,smb-tcp-445,allow,antivirus,none,PA-3410,Temporary allow per INC431965 (expires in 30d),4696,dns,365,1/4/2025 2:53,9/11/2023 2:53
43,Allow_DMZ_to_Mgmt_IMAP,sg-cloudfw,,universal,DMZ,192.99.122.19/32,any,any,Mgmt,SG_Legacy_Vendors,any,imap,tcp-any,allow,default,log at both ends,PA-3410,Change approved under INC242158,5621,"rdp, vnc",231,12/1/2024 18:11,11/8/2022 18:11
44,Allow_DMZ_to_Mgmt_FTP,sg-cloudfw,,universal,DMZ,192.190.83.26/32,any,any,Mgmt,192.190.83.26/32,any,ssh,ftp-control-tcp-21,allow,strict,none,PA-3410,Temporary allow per INC233895 (expires in 30d),1516,ssh,378,7/22/2025 10:38,5/8/2023 10:38
45,Allow_DMZ_to_Mgmt_RDP,sg-cloudfw,,universal,DMZ,SG_Branch_3_Subnets,any,any,Mgmt,SG_Corp_Internal,any,smtp,rdp-tcp-3389,allow,best-practice,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Observed traffic baseline only,7323,ssh,239,5/27/2025 0:10,12/14/2022 0:10
46,Allow_DMZ_to_Trust_DNS,sg-cloudfw,,universal,DMZ,192.136.216.12/32,svc_backup,any,Trust,192.6.0.0/16,any,dns,socks-proxy-tcp-1080,allow,best-practice,Traffic log sent at session end,PA-3410,Observed traffic baseline only,184,"ftp, smb",271,2/14/2025 14:00,10/4/2023 14:00
47,Allow_Internet_to_Trust_RDP,sg-cloudfw,,universal,Untrust,SG_Internal_Servers,svc_backup,any,Trust,any,any,SG_App_Any_And_Web,rdp-tcp-3389,allow,strict,log at both ends,PA-3410,Exception tracked in INC429242 pending remediation,0,(none),241,9/10/2025 1:41,7/15/2023 1:41
48,Allow_Mgmt_to_DMZ_DNS,sg-cloudfw,,universal,Mgmt,srv-sg-app20.corp.local,any,any,DMZ,srv-sg-app13.corp.local,any,dns,irc-tcp-6660-6669,allow,antivirus,none,PA-3410,Created during migration; documentation missing,0,"rdp, vnc",35,11/21/2024 16:34,9/23/2024 16:34
49,Allow_Guest_to_Trust_SMTP,sg-cloudfw,,universal,Guest,SG_Branch_3_Subnets,domain\itops,any,Trust,any,any,smtp,tcp-any,allow,default,none,PA-3410,Observed traffic baseline only,435,unknown-tcp,230,7/16/2025 23:23,7/13/2024 23:23
50,Allow_DMZ_to_DMZ_SSH,sg-cloudfw,,universal,DMZ,SG_Branch_3_Subnets,domain\itops,any,DMZ,192.83.179.28/32,any,ssh,ntp-udp-123,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Observed traffic baseline only,183,"rdp, vnc",244,9/29/2025 18:54,7/12/2024 18:54
51,Allow_Trust_to_Trust_FTP,sg-cloudfw,,universal,Trust,srv-sg-app01.corp.local,svc_backup,any,Trust,srv-sg-app12.corp.local,any,pop3,ftp-data-tcp-20,allow,default,none,PA-3410,Temporary allow per INC210509 (expires in 30d),0,"rdp, vnc",356,8/23/2025 6:11,7/10/2022 6:11
52,Allow_Internet_to_Trust_SSH,sg-cloudfw,,universal,Untrust,any,any,any,Trust,192.56.101.11/32,any,ssh,service-any,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC485711,0,"ftp, smb",308,6/1/2025 15:49,10/17/2022 15:49
53,Allow_DMZ_to_DMZ_SSL,sg-cloudfw,,universal,DMZ,srv-sg-app12.corp.local,domain\itops,any,DMZ,srv-sg-app14.corp.local,any,ssl,service-any,allow,none,log at both ends,PA-3410,Exception tracked in INC902687 pending remediation,2439,unknown-tcp,375,10/7/2025 9:48,9/11/2023 9:48
54,Allow_Trust_to_Guest_SMTP,sg-cloudfw,,universal,Trust,any,svc_batch,any,Guest,net-core-192.168.0.0_16,any,smtp,ntp-udp-123,allow,threat-prevention,Traffic log sent at session end,PA-3410,Operational requirement documented in INC665342,0,"ftp, smb",167,8/13/2025 22:12,11/27/2022 22:12
55,Allow_Internet_to_DMZ_POP3,sg-cloudfw,,universal,Untrust,SG_Anylike,any,any,DMZ,srv-sg-app20.corp.local,any,pop3,SG_Insecure_File_Sharing,allow,antivirus,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Legacy rule—owner unknown,5154,"rdp, vnc",244,9/27/2025 17:36,3/30/2024 17:36
56,Block_DMZ_to_Mgmt_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,any,srv-sg-app16.corp.local,domain\finance,any,Mgmt,192.2.0.0/16,any,SG_App_Any_And_Web,backdoor-common-tcp-4444,deny,best-practice,log at both ends,PA-3410,Exception tracked in INC948821 pending remediation,470,"rdp, vnc",209,9/27/2025 1:52,5/30/2025 1:52
57,Allow_Trust_to_Guest_HTTP,sg-cloudfw,,universal,Trust,SG_Internal_Servers,any,any,Guest,SG_Internal_Servers,any,pop3,http-tcp-80,allow,antivirus,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Observed traffic baseline only,1306,"web-browsing, ssl",5,7/4/2025 13:06,5/20/2023 13:06
58,Allow_Trust_to_Mgmt_IMAP,sg-cloudfw,,universal,Untrust,any,domain\itops,any,DMZ,any,any,any,vnc-tcp-5900,allow,none,Traffic log sent at start,PA-3410,,0,dns,385,1/23/2025 2:59,11/28/2022 2:59
59,Allow_DMZ_to_DMZ_SSH,sg-cloudfw,,universal,DMZ,telemetry.sg.iot,svc_backup,any,DMZ,any,any,ssh,SG_Email_Legacy,allow,best-practice,log at both ends,PA-3410,Created during migration; documentation missing,0,"web-browsing, ssl",219,4/20/2025 21:05,2/11/2023 21:05
60,Allow_DMZ_to_Mgmt_FTP,sg-cloudfw,,universal,DMZ,SG_Corp_Internal,svc_backup,any,Mgmt,SG_All_Branches,any,dns,SG_FTP_All,allow,default,none,PA-3410,Temporary workaround—no ticket provided,0,"web-browsing, ssl",77,2/24/2025 14:46,12/5/2023 14:46
61,Allow_Internet_to_Mgmt_IMAP,sg-cloudfw,,universal,Untrust,any,any,any,Trust,any,any,any,ftp-bundle-tcp-20-21,allow,none,Traffic log sent at start,PA-3410,,7547,"rdp, vnc",139,9/24/2025 14:38,3/16/2023 14:38
62,Allow_Trust_to_Trust_DNS,sg-cloudfw,,universal,Trust,SG_External_Vendors,domain\itops,any,Trust,SG_All_Addresses,any,dns,netbios-ssn-tcp-139,allow,best-practice,log at both ends,PA-3410,Change approved under INC174853,6141,"ftp, smb",238,10/23/2025 22:08,11/11/2023 22:08
63,Allow_DMZ_to_Trust_SSL,sg-cloudfw,,universal,DMZ,any,domain\itops,any,Trust,SG_External_Vendors,any,ssl,service-any,allow,best-practice,log at both ends,PA-3410,Operational requirement documented in INC337003,196,ssh,28,7/31/2025 10:53,2/24/2024 10:53
64,Allow_DMZ_to_Trust_HTTP,sg-cloudfw,,universal,DMZ,any,svc_batch,any,Trust,net-core-192.168.0.0_16,any,web-browsing,ms-rpc-tcp-135,allow,default,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC356823,25,unknown-tcp,296,10/25/2025 9:16,9/19/2024 9:16
65,Block_DMZ_to_DMZ_IMAP,sg-cloudfw,,universal,DMZ,SG_All_Addresses,domain\finance,any,DMZ,any,any,imap,service-any,deny,none,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC927162,387,dns,310,2/27/2025 22:07,6/29/2023 22:07
66,Allow_Trust_to_DMZ_POP3,sg-cloudfw,,universal,Untrust,any,svc_batch,any,Trust,any,any,any,irc-tcp-6660-6669,allow,none,log at both ends,PA-3410,Temporary allow per INC921079 (expires in 30d),49,ssh,80,4/27/2025 6:06,2/1/2023 6:06
67,Allow_Trust_to_DMZ_ANY-App,sg-cloudfw,,universal,Trust,any,svc_batch,any,DMZ,SG_DMZ_Web,any,any,ntp-udp-123,allow,none,log at both ends,PA-3410,Temporary allow per INC336974 (expires in 30d),0,"ftp, smb",92,12/12/2024 4:15,12/30/2022 4:15
68,Allow_Guest_to_DMZ_SSH,sg-cloudfw,,universal,Guest,srv-sg-app05.corp.local,svc_batch,any,DMZ,192.251.160.13/32,any,ssh,dns-udp-53,allow,best-practice,log at both ends,PA-3410,Temporary allow per INC820179 (expires in 30d),0,unknown-tcp,228,11/6/2025 12:43,6/22/2025 12:43
69,Block_Trust_to_Mgmt_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Trust,SG_Internal_Servers,svc_batch,any,Mgmt,SG_All_Addresses,any,SG_App_Any_And_Web,netbios-ns-tcp-137,deny,antivirus,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC569068,0,(none),260,11/12/2024 0:06,1/12/2023 0:06
70,Allow_Guest_to_Trust_SSL,sg-cloudfw,,universal,Guest,SG_Legacy,svc_batch,any,Trust,any,any,ssl,snmp-tcp-161,allow,strict,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC327841,0,"rdp, vnc",254,7/13/2025 8:29,9/24/2024 8:29
71,Allow_Trust_to_Guest_SSL,sg-cloudfw,,universal,Untrust,any,domain\finance,any,Trust,any,any,any,netbios-ns-tcp-137,allow,none,log at both ends,PA-3410,,191,"rdp, vnc",352,6/22/2025 6:52,12/2/2024 6:52
72,Allow_Mgmt_to_DMZ_HTTP,sg-cloudfw,,universal,Mgmt,any,domain\itops,any,DMZ,SG_Branch_3_Subnets,any,SG_App_Any_And_Web,http-tcp-80,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Observed traffic baseline only,0,(none),395,4/10/2025 8:34,12/1/2022 8:34
73,Allow_Guest_to_Mgmt_DNS,sg-cloudfw,,universal,Guest,192.149.19.17/32,any,any,Mgmt,net-core-192.168.0.0_16,any,dns,pop3-tcp-110,allow,threat-prevention,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Observed traffic baseline only,308,"ftp, smb",306,3/21/2025 1:25,6/2/2022 1:25
74,Allow_Internet_to_Guest_SSH,sg-cloudfw,,universal,Untrust,any,domain\finance,any,Trust,any,any,any,telnet-tcp-23,allow,none,log at both ends,PA-3410,Legacy rule—owner unknown,0,"web-browsing, ssl",159,3/24/2025 3:42,12/25/2021 3:42
75,Block_Guest_to_DMZ_SSH,sg-cloudfw,,universal,Guest,SG_Corp_Internal,svc_backup,any,DMZ,SG_Branch_2_Subnets,any,ssh,ntp-udp-123,deny,antivirus,none,PA-3410,Change approved under INC126238,4461,"web-browsing, ssl",371,7/24/2025 19:00,4/6/2025 19:00
76,Allow_Trust_to_DMZ_SSH,sg-cloudfw,,universal,Untrust,any,domain\itops,any,DMZ,any,any,any,netbios-ssn-udp-139,allow,none,Traffic log sent at start,PA-3410,Temporary workaround—no ticket provided,0,unknown-tcp,85,6/9/2025 13:35,5/18/2022 13:35
77,Allow_DMZ_to_Mgmt_ANY-App,sg-cloudfw,,universal,DMZ,any,domain\finance,any,Mgmt,SG_External_Vendors,any,any,irc-tcp-6660-6669,allow,threat-prevention,Traffic log sent at session end,PA-3410,Temporary allow per INC307839 (expires in 30d),1694,"web-browsing, ssl",339,2/21/2025 7:03,8/9/2023 7:03
78,Allow_Mgmt_to_Guest_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Mgmt,net-tier-192_8_0_0_16,any,any,Guest,SG_All_Addresses,any,SG_App_Any_And_Web,dns-udp-53,allow,best-practice,none,PA-3410,Temporary workaround—no ticket provided,462,unknown-tcp,249,3/15/2025 11:51,3/9/2023 11:51
79,Allow_Guest_to_Guest_SMTP,sg-cloudfw,,universal,Guest,192.193.162.16/32,svc_batch,any,Guest,192.8.0.0/16,any,smtp,SG_IRC_Backdoor_Suspect,allow,strict,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,225,ssh,371,11/11/2024 18:42,9/29/2023 18:42
80,Allow_Trust_to_Trust_SSH,sg-cloudfw,,universal,Trust,SG_Internal_Servers,svc_backup,any,Trust,SG_Legacy,any,ssh,ntp-udp-123,allow,threat-prevention,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,37,"ftp, smb",13,8/27/2025 10:23,9/12/2024 10:23
81,Allow_Guest_to_DMZ_ANY-App,sg-cloudfw,,universal,Untrust,any,svc_backup,any,DMZ,any,any,any,ms-rpc-tcp-135,allow,none,Traffic log sent at session end,PA-3410,Temporary allow per INC607417 (expires in 30d),0,unknown-tcp,353,7/23/2025 21:28,6/30/2024 21:28
82,Allow_Internet_to_Mgmt_SMTP,sg-cloudfw,,universal,Untrust,any,domain\itops,any,Mgmt,192.6.0.0/16,any,smtp,SG_Insecure_File_Sharing,allow,none,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC305026,378,"ftp, smb",99,2/12/2025 11:08,3/11/2024 11:08
83,Block_Trust_to_Mgmt_ANY-App,sg-cloudfw,,universal,Untrust,any,domain\itops,any,DMZ,any,any,any,vnc-tcp-5900,allow,none,Traffic log sent at session end,PA-3410,Change approved under INC182275,3443,"ftp, smb",375,4/3/2025 18:24,6/25/2024 18:24
84,Allow_Trust_to_DMZ_POP3,sg-cloudfw,,universal,Trust,192.6.0.0/16,svc_batch,any,DMZ,any,any,pop3,pop3-tcp-110,allow,default,log at both ends,PA-3410,Temporary workaround—no ticket provided,483,"web-browsing, ssl",340,8/15/2025 14:20,4/14/2025 14:20
85,Allow_DMZ_to_Mgmt_POP3,sg-cloudfw,,universal,DMZ,192.137.77.27/32,domain\itops,any,Mgmt,srv-sg-app14.corp.local,any,pop3,SG_Insecure_File_Sharing,allow,antivirus,Traffic log sent at session end,PA-3410,Temporary workaround—no ticket provided,222,"ftp, smb",88,11/26/2024 18:12,3/26/2024 18:12
86,Allow_Internet_to_Trust_POP3,sg-cloudfw,,universal,Untrust,any,svc_backup,any,Trust,any,any,any,netbios-ssn-tcp-139,allow,none,Traffic log sent at session end,PA-3410,,4667,dns,375,4/21/2025 6:47,2/6/2024 6:47
